EmployeeID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,PerformanceScore,CurrentEmployeeRating,SurveyDate,EngagementScore,SatisfactionScore,WorkLifeBalanceScore,TrainingDate,TrainingProgramName,TrainingType,TrainingOutcome,TrainingDuration_Days,TrainingCost,Age
3466,13 April 2022,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,26 January 1979,KY,Male,Other,Married,Exceeds,4,04 August 2023,1,3,4,07 December 2022,Customer Service,External,Passed,3,447.66,55
3467,06 May 2020,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,14 May 1987,KY,Female,Asian,Divorced,Exceeds,1,27 June 2023,4,3,2,24 February 2023,Technical Skills,Internal,Incomplete,1,759.7,64
3468,09 September 2019,Area Sales Manager,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,26 April 1998,KY,Female,Black,Single,Fully Meets,4,05 February 2023,3,1,3,10 May 2023,Customer Service,Internal,Completed,3,180.63,78
3469,29 July 2020,Area Sales Manager,PL,Future Start,Contract,Zone B,Full-Time,Sales,Field Operations,21 February 1945,TX,Female,Asian,Divorced,Needs Improvement,3,01 August 2023,5,5,1,15 August 2022,Communication Skills,Internal,Failed,2,552.54,50
3470,14 November 2018,Area Sales Manager,BPC,Future Start,Contract,Zone C,Part-Time,Sales,Field Operations,31 May 1997,TX,Female,Black,Married,Needs Improvement,3,06 May 2023,1,2,3,26 September 2022,Project Management,External,Passed,1,986.96,61
3471,29 February 2020,Area Sales Manager,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,03 January 1967,TX,Male,Asian,Married,Fully Meets,4,30 April 2023,2,4,1,23 March 2023,Customer Service,External,Passed,3,109.98,60
3472,15 January 2023,Area Sales Manager,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,12 January 1982,TX,Male,Other,Married,Exceeds,4,26 July 2023,5,5,4,12 February 2023,Technical Skills,External,Completed,5,537.24,57
3473,29 June 2023,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),01 October 1950,CO,Male,Hispanic,Widowed,Exceeds,2,28 June 2023,3,4,4,06 December 2022,Communication Skills,External,Failed,5,789.99,23
3474,09 March 2020,Area Sales Manager,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,16 December 1965,CO,Male,Other,Divorced,Fully Meets,2,09 May 2023,3,1,2,01 September 2022,Customer Service,External,Incomplete,5,155.51,27
3475,21 September 2021,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,25 December 1957,IN,Male,Asian,Widowed,Fully Meets,2,25 January 2023,4,3,4,02 November 2022,Customer Service,Internal,Passed,2,648.76,32
3476,12 June 2023,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,20 June 1945,MA,Male,Asian,Divorced,Needs Improvement,2,03 March 2023,5,5,3,18 November 2022,Leadership Development,Internal,Incomplete,4,533.5,29
3477,07 April 2019,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,03 December 1969,KY,Female,Asian,Widowed,Needs Improvement,2,05 December 2022,1,2,1,07 November 2022,Leadership Development,External,Failed,5,429.48,25
3478,17 September 2018,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,10 October 1957,KY,Female,Hispanic,Married,Fully Meets,2,29 November 2022,3,4,1,05 October 2022,Technical Skills,External,Incomplete,1,526.74,69
3479,02 August 2022,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,17 May 1962,TX,Female,Hispanic,Widowed,Fully Meets,2,03 November 2022,4,4,4,18 January 2023,Communication Skills,Internal,Passed,3,443.45,28
3480,08 September 2022,Area Sales Manager,PL,Future Start,Full-Time,Zone C,Temporary,Sales,Catv,09 August 1946,TX,Female,Black,Widowed,Fully Meets,1,25 July 2023,1,5,3,02 March 2023,Leadership Development,External,Failed,1,887.15,48
3481,07 March 2019,Area Sales Manager,BPC,Future Start,Full-Time,Zone C,Part-Time,Sales,Wireline Construction,11 December 1965,TX,Male,Other,Widowed,Fully Meets,4,02 March 2023,5,2,4,29 May 2023,Technical Skills,External,Incomplete,5,758.95,26
3482,29 October 2019,Area Sales Manager,CCDR,Future Start,Full-Time,Zone A,Temporary,Sales,Catv,11 February 1990,TX,Male,Asian,Divorced,Needs Improvement,2,22 October 2022,4,5,5,03 March 2023,Technical Skills,Internal,Failed,1,627.11,35
3483,26 September 2021,Area Sales Manager,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,19 June 1964,CO,Male,Asian,Widowed,Fully Meets,1,23 October 2022,1,4,5,10 August 2022,Project Management,External,Passed,4,111.96,26
3484,29 August 2018,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,18 July 1995,CO,Male,Other,Single,Fully Meets,4,16 September 2022,1,2,4,27 June 2023,Project Management,External,Passed,1,795.7,30
3485,26 October 2021,Area Sales Manager,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,22 August 1994,CO,Male,White,Widowed,Fully Meets,5,07 May 2023,2,1,3,07 August 2022,Customer Service,Internal,Passed,2,796.45,57
3486,31 October 2022,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,14 November 1990,IN,Male,Other,Widowed,Fully Meets,4,27 August 2022,3,1,1,23 July 2023,Project Management,Internal,Completed,5,812.59,40
3487,15 March 2023,Area Sales Manager,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,01 February 1994,KY,Female,Other,Divorced,Fully Meets,4,23 September 2022,5,4,1,17 July 2023,Project Management,External,Completed,5,132.97,25
3488,09 September 2022,Area Sales Manager,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,12 November 1997,KY,Female,Asian,Single,Fully Meets,2,11 March 2023,1,5,1,20 September 2022,Communication Skills,Internal,Completed,1,308.19,47
3489,04 March 2022,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,02 May 1953,TX,Female,Black,Divorced,Fully Meets,2,03 December 2022,2,4,5,02 July 2023,Project Management,Internal,Passed,1,131.41,18
3490,11 February 2019,Area Sales Manager,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,10 July 1991,TX,Female,Hispanic,Divorced,Fully Meets,2,12 October 2022,5,3,2,19 July 2023,Technical Skills,Internal,Failed,3,389.59,43
3491,26 January 2021,Area Sales Manager,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,02 June 1973,TX,Male,White,Widowed,Fully Meets,5,10 September 2022,3,4,5,14 July 2023,Project Management,Internal,Incomplete,3,442.56,71
3492,26 November 2019,Area Sales Manager,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,08 January 1993,CO,Male,Asian,Married,Fully Meets,1,13 January 2023,1,5,5,06 September 2022,Project Management,Internal,Incomplete,3,327.66,41
3493,15 July 2019,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,17 April 1984,CO,Male,Asian,Widowed,Fully Meets,5,02 April 2023,3,1,5,19 February 2023,Project Management,Internal,Completed,3,400.95,77
3494,18 June 2020,Area Sales Manager,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,08 February 1994,CO,Male,Black,Single,Fully Meets,4,15 December 2022,1,2,1,11 February 2023,Technical Skills,Internal,Completed,2,910.45,31
3495,22 June 2023,Area Sales Manager,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,27 January 1993,IN,Male,Other,Married,Fully Meets,4,08 September 2022,4,3,5,21 December 2022,Customer Service,External,Passed,1,701.55,48
3496,02 December 2021,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,19 September 1964,CA,Male,Other,Widowed,Fully Meets,5,26 December 2022,1,3,2,16 February 2023,Project Management,Internal,Incomplete,1,806.87,79
3497,08 December 2021,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,18 February 1981,OR,Female,Hispanic,Widowed,Fully Meets,1,18 September 2022,2,3,4,11 March 2023,Communication Skills,Internal,Completed,2,184.21,44
3498,26 April 2023,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,17 October 1998,KY,Female,White,Widowed,Fully Meets,2,19 June 2023,3,3,4,30 May 2023,Project Management,External,Failed,1,208.43,64
3499,25 September 2018,Area Sales Manager,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,16 January 1971,KY,Female,Asian,Widowed,Fully Meets,5,21 July 2023,5,3,5,30 January 2023,Technical Skills,Internal,Incomplete,2,762.45,24
3500,20 November 2018,Area Sales Manager,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),25 February 2000,TX,Female,White,Divorced,Fully Meets,1,14 May 2023,4,1,4,15 June 2023,Leadership Development,External,Incomplete,4,779.79,62
3501,30 August 2020,Area Sales Manager,PL,Future Start,Part-Time,Zone A,Part-Time,Sales,General - Con,19 April 1959,TX,Male,Other,Widowed,Fully Meets,4,20 February 2023,2,3,4,09 June 2023,Project Management,External,Passed,3,135.95,34
3502,01 October 2019,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,29 June 1976,TX,Male,White,Married,Fully Meets,1,24 April 2023,5,3,5,03 January 2023,Customer Service,External,Incomplete,3,427.12,78
3503,20 January 2022,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,27 July 1951,CO,Male,Other,Single,Fully Meets,4,28 January 2023,5,2,3,20 February 2023,Technical Skills,Internal,Completed,4,996.35,52
3504,10 October 2021,Area Sales Manager,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,23 August 1980,CO,Male,Hispanic,Married,Fully Meets,2,20 April 2023,3,4,3,02 June 2023,Communication Skills,Internal,Completed,5,963.23,70
3505,29 August 2020,Area Sales Manager,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,24 July 1943,IN,Male,Hispanic,Widowed,Fully Meets,1,10 November 2022,4,3,2,13 September 2022,Leadership Development,Internal,Failed,5,260.97,57
3506,27 August 2019,Area Sales Manager,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,06 July 1988,IN,Male,Other,Married,Fully Meets,2,27 June 2023,2,2,3,21 May 2023,Leadership Development,Internal,Completed,1,781.81,70
3507,25 February 2021,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,24 March 1973,CA,Male,White,Single,Fully Meets,4,31 March 2023,2,5,2,25 May 2023,Project Management,Internal,Passed,4,651.77,37
3508,13 July 2021,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,26 May 1942,OR,Male,Asian,Single,Fully Meets,5,17 April 2023,1,5,4,04 April 2023,Communication Skills,External,Completed,1,568.22,43
3509,14 April 2021,Area Sales Manager,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,04 November 1977,KY,Female,Black,Married,Fully Meets,2,03 December 2022,4,5,2,04 March 2023,Leadership Development,External,Completed,4,612.1,74
3510,10 February 2020,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,17 October 1956,KY,Female,Hispanic,Married,Fully Meets,2,22 August 2022,2,4,3,27 October 2022,Technical Skills,External,Completed,4,473.23,46
3511,17 August 2021,Area Sales Manager,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,18 February 1997,KY,Female,Asian,Divorced,Fully Meets,4,11 May 2023,5,4,5,07 April 2023,Technical Skills,Internal,Completed,3,344.44,31
3512,17 April 2023,Area Sales Manager,NEL,Future Start,Contract,Zone C,Temporary,Sales,Yard (Material Handling),25 October 1996,TX,Female,Black,Single,Fully Meets,2,20 February 2023,5,1,3,25 November 2022,Communication Skills,Internal,Failed,2,206.44,26
3513,02 September 2022,Area Sales Manager,PL,Future Start,Contract,Zone C,Temporary,Sales,General - Con,13 November 1959,TX,Male,Other,Married,Fully Meets,5,11 May 2023,4,1,3,03 June 2023,Communication Skills,External,Completed,1,599,26
3514,15 April 2020,Area Sales Manager,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,03 January 1958,TX,Male,Asian,Married,Fully Meets,1,25 August 2022,2,1,1,21 February 2023,Leadership Development,Internal,Incomplete,3,975.46,80
3515,09 March 2022,Area Sales Manager,CCDR,Future Start,Part-Time,Zone A,Part-Time,Sales,Finance & Accounting,29 April 1997,CO,Male,White,Single,Fully Meets,4,03 July 2023,3,5,5,04 February 2023,Customer Service,Internal,Completed,1,143.96,55
3516,07 April 2022,Area Sales Manager,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,25 June 1988,CO,Male,Asian,Divorced,Fully Meets,5,15 November 2022,2,3,5,22 June 2023,Technical Skills,Internal,Incomplete,1,570.42,55
3517,19 February 2020,Area Sales Manager,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,04 January 1942,IN,Male,Hispanic,Widowed,Fully Meets,4,01 January 2023,4,1,1,17 September 2022,Technical Skills,Internal,Failed,3,391.31,59
3518,10 April 2021,Area Sales Manager,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,24 May 1969,CA,Female,Hispanic,Married,Fully Meets,2,13 May 2023,4,2,5,27 June 2023,Customer Service,Internal,Completed,3,826.58,24
3519,19 December 2021,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,28 March 1951,CA,Male,Hispanic,Widowed,Fully Meets,2,10 June 2023,1,3,4,11 December 2022,Leadership Development,External,Incomplete,4,930.69,33
3520,13 December 2020,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,01 March 1963,ND,Female,Black,Divorced,Fully Meets,1,17 September 2022,5,1,1,11 September 2022,Customer Service,External,Incomplete,1,607.93,36
3521,26 February 2019,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,16 April 1949,KY,Female,Asian,Divorced,Fully Meets,4,19 September 2022,1,3,3,28 February 2023,Communication Skills,Internal,Incomplete,5,723.5,37
3522,02 March 2020,Area Sales Manager,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,12 October 1983,KY,Female,Other,Single,Fully Meets,1,14 July 2023,1,5,4,05 May 2023,Communication Skills,External,Completed,5,394.04,29
3523,25 June 2021,Area Sales Manager,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,19 December 1978,KY,Female,Other,Single,Fully Meets,2,27 February 2023,3,2,3,10 July 2023,Leadership Development,External,Incomplete,2,451.18,75
3524,26 July 2021,Area Sales Manager,EW,Future Start,Contract,Zone B,Full-Time,Sales,Field Operations,11 November 1999,TX,Male,Asian,Divorced,Fully Meets,2,19 May 2023,3,2,4,02 January 2023,Communication Skills,Internal,Completed,5,124.65,39
3525,03 July 2022,Area Sales Manager,MSC,Future Start,Contract,Zone B,Temporary,Sales,General - Con,29 January 1967,TX,Male,Hispanic,Single,Fully Meets,2,01 February 2023,1,2,1,09 October 2022,Leadership Development,External,Incomplete,4,237.75,23
3526,15 September 2022,Area Sales Manager,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,30 May 1948,TX,Male,White,Widowed,Fully Meets,4,28 January 2023,1,5,3,15 October 2022,Customer Service,Internal,Passed,2,360.5,79
3527,01 May 2020,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,15 October 1974,CO,Male,Black,Married,Fully Meets,1,27 February 2023,1,3,2,06 January 2023,Project Management,Internal,Failed,4,396.28,41
3528,13 October 2022,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,13 December 1991,CO,Male,Hispanic,Widowed,Fully Meets,2,27 May 2023,5,2,2,02 March 2023,Technical Skills,External,Passed,1,465.96,75
3529,03 January 2020,Area Sales Manager,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,18 June 1994,IN,Male,Hispanic,Single,Fully Meets,2,15 July 2023,2,3,4,04 September 2022,Project Management,Internal,Incomplete,1,515.56,57
3530,13 November 2019,Area Sales Manager,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,16 June 1993,CA,Female,Black,Widowed,Fully Meets,2,27 November 2022,1,2,5,18 January 2023,Customer Service,External,Passed,2,496.85,63
3531,17 June 2023,Area Sales Manager,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,18 May 1943,CA,Male,Black,Divorced,Fully Meets,1,24 February 2023,2,4,4,30 November 2022,Leadership Development,External,Completed,3,629.46,64
3532,14 October 2021,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,27 November 1966,OR,Female,Black,Widowed,Fully Meets,1,08 October 2022,2,2,5,02 May 2023,Technical Skills,Internal,Failed,2,771.61,78
3533,01 June 2021,Area Sales Manager,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,12 November 1966,ND,Male,White,Married,Fully Meets,2,08 January 2023,2,5,2,11 May 2023,Leadership Development,Internal,Completed,4,418.4,71
3534,14 September 2018,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,16 August 1959,KY,Female,Asian,Single,Fully Meets,4,14 April 2023,4,3,2,21 May 2023,Customer Service,Internal,Completed,3,900.96,61
3535,11 December 2018,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,02 February 1994,KY,Female,Black,Single,Fully Meets,4,01 November 2022,1,5,1,25 June 2023,Technical Skills,External,Incomplete,1,936.96,35
